rank,forma,colocacion,muestra,cubierto,gaps_servidos,exceso,n_gaps_error,densidad,incertidumbre_anchura_media,n_componentes_periodicas,conecta_a1,conecta_a2,mallabilidad,motivo_mallado
106,hexagonal,2,1,0.0,0.0,8.471285337561289,7,0.5150146484375,0.06637118756771088,,,,no_evaluada,
107,hexagonal,3,0,0.0,0.0,5.0691843234565335,5,0.68408203125,0.03974585607647896,,,,no_evaluada,
108,hexagonal,3,1,0.0,0.0,5.976303583102257,6,0.64837646484375,0.06421148031949997,,,,no_evaluada,
109,hexagonal,4,0,0.0,0.0,6.3079303298676335,7,0.47943115234375,0.068364217877388,,,,no_evaluada,
110,hexagonal,4,1,0.0,0.0,4.873036795251894,7,0.42047119140625,0.029051098972558975,,,,no_evaluada,
111,hexagonal,5,0,0.0,0.0,6.949684194716706,8,0.47125244140625,0.04481620341539383,,,,no_evaluada,
112,hexagonal,5,1,0.0,0.0,7.348053818276734,8,0.49078369140625,0.0340789332985878,,,,no_evaluada,
113,hexagonal,6,1,0.0,0.0,10.569061699314801,8,0.45281982421875,0.0571383498609066,,,,no_evaluada,
114,hexagonal,7,0,0.0,0.0,4.442992750522829,8,0.4835205078125,0.030654553323984146,,,,no_evaluada,
115,hexagonal,7,1,0.0,0.0,2.0196723892714865,3,0.4482421875,0.04035621136426926,,,,no_evaluada,
116,hexagonal,8,0,0.0,0.0,5.4372254111742695,5,0.71783447265625,0.03497886285185814,,,,no_evaluada,
117,hexagonal,8,1,0.0,0.0,6.136694284106912,5,0.71051025390625,0.04467451572418213,,,,no_evaluada,
118,hexagonal,9,1,0.0,0.0,4.813769598364647,3,0.4771728515625,0.11640481650829315,,,,no_evaluada,
119,hexagonal,10,0,0.0,0.0,7.844330297407937,6,0.52508544921875,0.05470547080039978,,,,no_evaluada,
120,hexagonal,12,0,0.0,0.0,4.887807788924054,5,0.55914306640625,0.057448357343673706,,,,no_evaluada,
121,hexagonal,12,1,0.0,0.0,5.174350978357491,5,0.6849365234375,0.030538568273186684,,,,no_evaluada,
122,hexagonal,13,1,0.0,0.0,11.543575528741329,8,0.28594970703125,0.08944002538919449,,,,no_evaluada,
123,hexagonal,14,0,0.0,0.0,4.443593236288277,2,0.54132080078125,0.09379082918167114,,,,no_evaluada,
124,hexagonal,14,1,0.0,0.0,3.939017306891967,3,0.53350830078125,0.06388909369707108,,,,no_evaluada,
125,rectangular,0,0,0.0,0.0,6.490594883549596,6,0.541015625,0.04458747059106827,,,,no_evaluada,
126,rectangular,0,1,0.0,0.0,1.6949195172743887,1,0.6600341796875,0.032172877341508865,,,,no_evaluada,
127,rectangular,1,0,0.0,0.0,5.204619956119805,4,0.61358642578125,0.04731747508049011,,,,no_evaluada,
128,rectangular,2,0,0.0,0.0,0.24798351583841355,0,0.91094970703125,0.0098792789503932,,,,no_evaluada,
129,rectangular,2,1,0.0,0.0,3.6717433061343674,2,0.51788330078125,0.11849803477525711,,,,no_evaluada,
130,rectangular,3,0,0.0,0.0,2.383943948784211,1,0.75860595703125,0.028404735028743744,,,,no_evaluada,
131,rectangular,3,1,0.0,0.0,2.844884558528565,2,0.7364501953125,0.03899414464831352,,,,no_evaluada,
132,rectangular,5,0,0.0,0.0,5.809137851700784,4,0.41961669921875,0.08182813227176666,,,,no_evaluada,
133,rectangular,5,1,0.0,0.0,1.515358037348147,1,0.48809814453125,0.02906920574605465,,,,no_evaluada,
134,rectangular,6,0,0.0,0.0,9.120614285482786,7,0.50604248046875,0.059908248484134674,,,,no_evaluada,
135,rectangular,8,0,0.0,0.0,4.799983478337157,5,0.4725341796875,0.029158785939216614,,,,no_evaluada,
136,rectangular,9,0,0.0,0.0,13.984948150477145,7,0.2371826171875,0.0902903825044632,,,,no_evaluada,
137,rectangular,10,0,0.0,0.0,11.215663315581704,9,0.42901611328125,0.07787719368934631,,,,no_evaluada,
